Codigo,Apelido,Razao Social,Endereco,Bairro,Cidade,ES,CEP,DDD/TEL/FAX,CNPJ,INSC.Estadual,Contato,Email,order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11,order_12,order_13,order_14,order_15,order_16,order_17,order_18,order_19,order_20,order_21,order_22,order_23,order_24,order_25,order_26,order_27,order_28,order_29,order_30,order_31,order_32,order_33,order_34,order_35,order_36,order_37,order_38,order_39,order_40,order_41,order_42,order_43,order_44,order_45,order_46,order_47,order_48,order_49,order_50,last_order
7477,STEPHANO HYUNG,STEPHANO HYUNG JUN CHANG EPP,"RUA JULIO RIBEIRO, 265",BRAS,SÃO PAULO,SP,03010-030,011 / 2618-2904 / 96600-4440,10.739.412/0001-00,148.554.879.119,,steh.kr@gmail.com,"['013579', '086622', '04/02/2020', '273.20', '51', 'Singular(F)']","['013580', '086458', '03/02/2020', '408.80', '71', 'Singular(F)']","['0R2059', '080466', '24/07/2019', '274.00', '51', 'Singular(F)']","['0R2058', '080467', '24/07/2019', '203.00', '41', 'Singular(F)']","['0R2055', '080355', '24/07/2019', '182.50', '31', 'Singular(F)']","['0R2057', '080249', '22/07/2019', '231.00', '41', 'Singular(F)']","['0R2060', '080202', '19/07/2019', '602.00', '122', 'Singular(F)']","['0R2056', '080018', '12/07/2019', '237.50', '41', 'Singular(F)']","['006969', '002750', '04/07/2019', '317.80', '61', 'FIO FANTASIA']","['SH3401', '077127', '06/03/2019', '203.40', '51', 'Singular(F)']","['01231V', '075485', '21/01/2019', '689.60', '142', 'Singular(F)']","['0SH557', '074587', '11/12/2018', '209.40', '41', 'Singular(F)']","['0SH558', '074433', '07/12/2018', '320.00', '71', 'Singular(F)']","['0Q0468', '072675', '05/10/2018', '400.80', '91', 'Singular(F)']","['B78751', '071910', '03/09/2018', '392.60', '81', 'Singular(F)']","['B75988', '071244', '08/08/2018', '204.00', '41', 'Singular(F)']","['0P9292', '071251', '08/08/2018', '97.60', '21', 'Singular(F)']","['B75987', '071186', '07/08/2018', '200.00', '31', 'Singular(F)']","['075978', '071032', '31/07/2018', '334.40', '71', 'Singular(F)']","['B75965', '070839', '25/07/2018', '405.40', '81', 'Singular(F)']","['B26978', '032512', '07/07/2015', '508.20', '102', 'Singular']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-04
7478,VRC,VRC CONFECCOES EIRELI ME,"RUA BERNARDO DE VASCONCELOS, 308E 310",CASCATINHA,PETROPOLIS,RJ,25716-100,024 / 2243-1425 / ,10.622.159/0001-00,78.691.182,,solangebrenorio@hotmail.com,"['008800', '067755', '11/09/2019', '1033.00', '192', 'Singular']","['0Q1075', '040955', '15/10/2018', '1199.00', '212', 'Intercommerce']","['RN1147', '055318', '17/08/2018', '503.70', '102', 'Singular']","['0P8911', '054641', '06/08/2018', '554.00', '112', 'Singular']","['RN1117', '053441', '17/07/2018', '808.60', '182', 'Singular']","['0P1986', '050671', '10/04/2018', '247.40', '41', 'Singular']","['0P1987', '050540', '04/04/2018', '181.50', '41', 'Singular']","['0P1988', '050439', '03/04/2018', '253.00', '41', 'Singular']","['0P1984', '049825', '16/03/2018', '400.90', '61', 'Singular']","['RN1037', '049478', '06/03/2018', '427.00', '81', 'Singular']","['RN1036', '049316', '01/03/2018', '738.60', '182', 'Singular']","['0N6274', '037221', '10/10/2017', '491.00', '81', 'Intercommerce']","['0N6272', '037206', '10/10/2017', '296.00', '51', 'Intercommerce']","['0N6273', '037203', '10/10/2017', '456.00', '91', 'Intercommerce']","['0N6271', '046422', '02/10/2017', '607.50', '122', 'Singular']","['ARN903', '045551', '05/09/2017', '1097.80', '212', 'Singular']","['0L2842', '034029', '04/09/2015', '443.00', '91', 'Singular']","['0L2841', '034009', '04/09/2015', '551.10', '112', 'Singular']","['0L2735', '025285', '13/08/2015', '609.50', '122', 'Intercommerce']","['0L2737', '025224', '12/08/2015', '616.40', '142', 'Intercommerce']","['0L2736', '025223', '12/08/2015', '434.50', '91', 'Intercommerce']","['0L2733', '033387', '07/08/2015', '824.50', '142', 'Singular']","['ARN480', '024352', '17/04/2015', '2518.70', '462', 'Intercommerce']","['ARN479', '030359', '26/03/2015', '2406.80', '392', 'Singular']",,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-11
7484,HELO BICALHO,HELO BICALHO INDUSTRIA DE MODA LTDA,"RUA IRMAO GONCALVES XAVIER, 46",SAO PEDRO,BELO HORIZONTE,MG,30330-030,031 / 3221-6006 / 3221-2355,20.247.763/0001-49,062391324.00-62,,financeiro@helobicalho.com.br,"['150202', '057212', '18/02/2016', '56.00', '41', 'Singular(F)']","['150201', '035818', '17/02/2016', '149.00', '31', 'Singular']","['060101', '026840', '07/01/2016', '103.00', '21', 'Intercommerce']","['L29397', '026483', '03/12/2015', '46.00', '11', 'Intercommerce']","['029386', '055748', '29/10/2015', '58.05', '31', 'Singular(F)']","['029385', '025876', '28/10/2015', '309.00', '61', 'Intercommerce']","['029516', '053901', '14/07/2015', '127.00', '21', 'Singular(F)']","['029410', '032014', '05/06/2015', '101.00', '21', 'Singular']","['0K8096', '023315', '20/02/2015', '3.00', '11', 'Intercommerce']","['015389', '022619', '09/01/2015', '4.00', '21', 'Intercommerce']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-18
7502,ELIANE BANDEIRA,ELIANE BANDEIRA DE AMORIM MOURAO CONFS. EPP,"RUA MENDES GONCALVES, 5054",BRAS,SÃO PAULO,SP,03027-010,011 / 2081-3472 / ,07.413.455/0001-88,117.061.490.116,,claudia@executivacontabil.com.br,"['0N3173', '034817', '13/07/2017', '902.50', '142', 'Intercommerce']","['B62662', '043989', '21/06/2017', '593.10', '81', 'Singular']","['B62661', '043840', '16/06/2017', '978.90', '142', 'Singular']","['B62656', 'Corte', '12/06/2017', '2.00', '11', 'Intercommerce(F)']","['069409', '065077', '23/05/2017', '40.70', '41', 'Singular(F)']","['069408', '000176', '22/05/2017', '87.40', '71', 'Intercommerce(F)']","['B54848', '042496', '15/03/2017', '119.10', '41', 'Singular']","['B54847', '063587', '14/03/2017', '16.00', '11', 'Singular(F)']","['0M6831', '031974', '18/01/2017', '54.70', '51', 'Intercommerce']","['055874', '062456', '17/01/2017', '28.50', '11', 'Singular(F)']","['B55851', '041033', '17/01/2017', '2.00', '11', 'Singular']","['B55856', '062328', '10/01/2017', '104.90', '51', 'Singular(F)']","['B55852', '040830', '09/01/2017', '3.00', '11', 'Singular']","['B55854', '040790', '06/01/2017', '521.00', '102', 'Singular']","['B55855', '040789', '06/01/2017', '262.00', '51', 'Singular']","['B53169', 'Corte', '12/12/2016', '2.50', '21', 'Singular(F)']","['B53455', 'Corte', '21/11/2016', '1.00', '11', 'Intercommerce']","['B36439', 'Corte', '15/02/2016', '1.50', '11', 'Intercommerce']","['B23884', '034116', '09/09/2015', '310.50', '61', 'Singular']","['B23882', '034019', '04/09/2015', '1326.40', '262', 'Singular']","['B23883', '033940', '04/09/2015', '569.00', '122', 'Singular']","['B23881', '033819', '03/09/2015', '799.00', '172', 'Singular']","['B23878', '054746', '02/09/2015', '786.80', '182', 'Singular(F)']","['B23880', '033748', '01/09/2015', '1754.50', '352', 'Singular']","['B23879', '025450', '01/09/2015', '787.50', '162', 'Intercommerce']","['B24236', '032198', '12/06/2015', '5992.10', '1263', 'Singular']","['B24235', '032199', '12/06/2015', '4108.00', '922', 'Singular']","['B24236', '025000', '12/06/2015', '1867.00', '402', 'Intercommerce']","['B21510', '029141', '02/02/2015', '2.00', '11', 'Singular']","['B21511', '023053', '02/02/2015', '2.00', '11', 'Intercommerce']",,,,,,,,,,,,,,,,,,,,,2017-07-13
7503,M E O CONFECCOES,M E O CONFECCOES LTDA EPP,"RUA SILVA TELES, 305",PARI,SAO PAULO,SP,03026-001,011 / 2692-1396 / 3682-2185,12.355.162/0001-21,147.379.930.114,,atendimento.moconf@gmail.com,"['B80344', '002278', '25/10/2018', '633.00', '112', 'FIBRA FANTASIA']","['B65810', '003390', '01/02/2018', '996.10', '202', 'Intercommerce(F)']","['0N5606', '066139', '02/10/2017', '306.50', '61', 'Singular(F)']","['BB5894', '000785', '17/05/2017', '47.90', '21', 'FIO FANTASIA']","['B58943', '064944', '16/05/2017', '44.30', '21', 'Singular(F)']","['B58869', '064316', '07/04/2017', '260.50', '142', 'Singular(F)']","['B56594', '064256', '06/04/2017', '101.80', '51', 'Singular(F)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-10-25
7506,BUBIAN,INDUSTRIA E COMERCIO DE TECIDOS BUBIAN LTDA,"RUA QUINZE DE NOVEMBRO, 845A,B,C,D,E",MONTESE,FORTALEZA,CE,60421-040,085 / 3077.7001 / ,02.730.045/0001-47,06.270578-4,,faturamentocaruaru@jocitex.com.br,"['P0302C', '086548', '04/02/2020', '10050.10', '4273', 'Singular(F)']","['P0302B', '086549', '04/02/2020', '11645.39', '4903', 'Singular(F)']","['P0302D', '086550', '04/02/2020', '5960.32', '2753', 'Singular(F)']","['P0302A', '086551', '04/02/2020', '9357.02', '3933', 'Singular(F)']","['SP0302', '086552', '04/02/2020', '10299.50', '4363', 'Singular(F)']","['B2020D', '086498', '03/02/2020', '22559.00', '3903', 'Singular(F)']","['B2020C', '086499', '03/02/2020', '15509.50', '2633', 'Singular(F)']","['B2020B', '086500', '03/02/2020', '657.00', '192', 'Singular(F)']","['007110', '080021', '15/07/2019', '16770.70', '2943', 'Singular(F)']","['BU5941', '078593', '16/05/2019', '24901.40', '5083', 'Singular(F)']","['BU5890', '078568', '14/05/2019', '5529.80', '2723', 'Singular(F)']","['BU5888', '078560', '14/05/2019', '5124.70', '2303', 'Singular(F)']","['U3052J', '074210', '04/12/2018', '9612.30', '4583', 'Singular(F)']","['U3053J', '074208', '04/12/2018', '13408.90', '2503', 'Singular(F)']","['U3051J', '074197', '04/12/2018', '9556.00', '1763', 'Singular(F)']","['3050SS', '074189', '04/12/2018', '4855.40', '2593', 'Singular(F)']","['03051J', '074183', '03/12/2018', '4864.50', '922', 'Singular(F)']","['03050S', '074184', '03/12/2018', '19968.00', '3623', 'Singular(F)']","['03052J', '074185', '03/12/2018', '5806.60', '1103', 'Singular(F)']","['BUB002', '068392', '29/03/2018', '5971.20', '3353', 'Singular(F)']","['B69923', '067102', '18/01/2018', '5545.40', '2203', 'Singular(F)']","['A1325A', '002853', '13/12/2017', '4002.50', '1883', 'Intercommerce(F)']","['01012J', '002071', '20/10/2017', '1591.07', '642', 'Intercommerce(F)']","['01011J', '002055', '19/10/2017', '2395.36', '922', 'Intercommerce(F)']","['01014J', '002033', '18/10/2017', '2082.82', '1023', 'Intercommerce(F)']","['01010J', '002031', '17/10/2017', '1825.12', '772', 'Intercommerce(F)']","['JU2507', '064668', '27/04/2017', '3142.80', '662', 'Singular(F)']","['B56867', '062924', '08/02/2017', '2712.50', '492', 'Singular(F)']","['B56862', '062886', '07/02/2017', '851.63', '412', 'Singular(F)']","['B49629', '060538', '12/09/2016', '997.30', '452', 'Singular(F)']","['B49643', '060534', '12/09/2016', '2219.60', '962', 'Singular(F)']","['BUB001', '056942', '27/01/2016', '2111.90', '1363', 'Singular(F)']","['27244B', '054360', '12/08/2015', '10213.50', '1833', 'Singular(F)']","['B12548', '030667', '09/04/2015', '52.60', '31', 'Singular']","['B12541', '051615', '07/04/2015', '384.40', '262', 'Singular(F)']","['B16358', '050688', '24/02/2015', '3104.70', '2263', 'Singular(F)']","['AO2525', '050673', '23/02/2015', '1730.70', '1203', 'Singular(F)']","['B22400', '050664', '23/02/2015', '5679.70', '3883', 'Singular(F)']","['B22398', '050652', '20/02/2015', '4737.70', '2963', 'Singular(F)']","['B16373', '029531', '20/02/2015', '3018.60', '562', 'Singular']","['B16372', '050651', '20/02/2015', '1906.10', '402', 'Singular(F)']",,,,,,,,,,2020-02-04
7511,FEITOSA,FEITOSA INDUSTRIA E COMERCIO DE CONF.LTDA EPP,"RUA MACHADO DE ASSIS, 2051A",LOURIVAL PARENTE,TERESINA,PI,64023-630,086 / 3228-6100 / ,07.238.771/0001-60,194539784,,compras@modalavertu.com.br,"['65032A', '039543', '07/02/2018', '101.50', '21', 'Intercommerce']","['065032', '048664', '07/02/2018', '111.00', '21', 'Singular']","['47203A', '031375', '28/11/2016', '153.60', '31', 'Intercommerce']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-07
7524,EDLA BAUCKE,EDLA BAUCKE EPP,"RUA FORTALEZA, 16FUNDOS",TAPAJOS,INDAIAL,SC,89080-187,047 / 3333-8840 / ,80.501.885/0001-41,251668258,,eldconf@terra.com.br,"['0P6859', '052002', '11/06/2018', '488.00', '71', 'Singular']","['AE4736', '040871', '14/05/2018', '1.50', '11', 'Intercommerce']","['AE4150', '033974', '30/05/2017', '317.00', '51', 'Intercommerce']","['AE4149', '065198', '30/05/2017', '173.00', '31', 'Singular(F)']","['AE4147', '065197', '30/05/2017', '636.00', '132', 'Singular(F)']","['AE3962', '032406', '03/02/2017', '335.00', '61', 'Intercommerce']","['ST3881', '061740', '22/11/2016', '48.00', '21', 'Singular(F)']","['AE3882', '031120', '21/11/2016', '227.10', '41', 'Intercommerce']","['ST3496', '057147', '12/02/2016', '424.70', '81', 'Singular(F)']","['ST3497', '057138', '12/02/2016', '101.00', '21', 'Singular(F)']","['AE3495', '035800', '12/02/2016', '339.00', '61', 'Singular']","['AE3162', '025375', '21/08/2015', '684.00', '162', 'Intercommerce']","['TA3167', '025374', '21/08/2015', '342.10', '81', 'Intercommerce']","['AE3163', '033634', '21/08/2015', '278.00', '71', 'Singular']","['AE2848', '030858', '17/04/2015', '574.00', '112', 'Singular']","['ST2825', '051581', '06/04/2015', '1402.00', '242', 'Singular(F)']","['AE2824', '030470', '02/04/2015', '1572.50', '282', 'Singular']","['AE2823', '024129', '02/04/2015', '520.50', '81', 'Intercommerce']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-11
7537,NAINA,NAINA INDUSTRIA DE CONFECCOES LTDA,"RUA TENENTE PENA, 196",BOM RETIRO,SÃO PAULO,SP,01127-020,011 / 3331-7707 / 3331-8302,08.158.401/0001-86,149.346.435.112,,adm.naina@hotmail.com,"['0R9781', '000115', '16/11/2020', '255.00', '41', 'LetteBrasil(F)']","['018975', '044907', '15/10/2020', '456.00', '71', 'Intercommerce']","['018950', 'Corte', '14/10/2020', '1.00', '11', 'Intercommerce']","['108489', '089089', '30/07/2020', '3.00', '11', 'Singular(F)']","['104297', '087758', '06/03/2020', '102.30', '51', 'Singular(F)']","['014911', '072024', '21/02/2020', '2.00', '11', 'Singular']","['014371', 'Corte', '12/02/2020', '0.83', '11', 'FIBRA FANTASIA']","['006984', '065882', '10/07/2019', '1.00', '11', 'Singular']","['0Q8755', '043056', '04/07/2019', '4.00', '21', 'Intercommerce']","['006014', '042617', '20/05/2019', '93.00', '21', 'Intercommerce']","['0Q8756', '064751', '17/05/2019', '4.00', '21', 'Singular']","['005265', '078176', '22/04/2019', '605.00', '112', 'Singular(F)']","['005268', '064415', '18/04/2019', '3.00', '11', 'Singular']","['005266', '064416', '18/04/2019', '4.00', '21', 'Singular']","['005215', '078137', '17/04/2019', '64.10', '31', 'Singular(F)']","['004802', '077949', '09/04/2019', '3.00', '11', 'Singular(F)']","['B85859', '077835', '03/04/2019', '263.40', '132', 'Singular(F)']","['004552', '063857', '28/03/2019', '575.50', '112', 'Singular']","['0Q6982', '063874', '28/03/2019', '4.00', '21', 'Singular']","['0Q5587', '063712', '25/03/2019', '1.00', '11', 'Singular']","['0Q6461', '063286', '12/03/2019', '3.00', '11', 'Singular']","['0N3692', '077191', '11/03/2019', '1.50', '11', 'Singular(F)']","['003691', '042076', '11/03/2019', '1.00', '11', 'Intercommerce']","['003690', '063203', '11/03/2019', '1.50', '11', 'Singular']","['03552A', '063138', '01/03/2019', '2.00', '11', 'Singular']","['003551', '063071', '28/02/2019', '2.00', '11', 'Singular']","['0Q5584', '041940', '18/02/2019', '1.00', '11', 'Intercommerce']","['B91237', '076544', '15/02/2019', '50.80', '21', 'Singular(F)']","['02542S', '076281', '11/02/2019', '98.70', '41', 'Singular(F)']","['NA1482', '075569', '23/01/2019', '0.97', '11', 'Singular(F)']","['01366A', '075595', '23/01/2019', '43.80', '21', 'Singular(F)']","['001480', '002371', '23/01/2019', '1.00', '11', 'FIBRA FANTASIA']","['0NN933', '075304', '17/01/2019', '49.00', '11', 'Singular(F)']","['0780AA', '074930', '10/01/2019', '90.90', '41', 'Singular(F)']","['0Q3525', '059641', '22/11/2018', '61.00', '11', 'Singular']","['B81152', '059321', '12/11/2018', '3.00', '11', 'Singular']","['B81151', '073428', '06/11/2018', '5.00', '11', 'Singular(F)']","['0Q1888', '058835', '29/10/2018', '415.00', '192', 'Singular']","['0Q0438', '040992', '16/10/2018', '1.00', '11', 'Intercommerce']","['0Q0437', '057697', '08/10/2018', '1.00', '11', 'Singular']","['B78874', '057041', '17/09/2018', '2.00', '11', 'Singular']","['0P8117', '056064', '28/08/2018', '1.00', '11', 'Singular']","['B76916', 'Corte', '23/08/2018', '1.00', '11', 'Singular']","['B76449', 'Corte', '22/08/2018', '2.00', '11', 'Singular(F)']","['B32352', '071256', '08/08/2018', '0.36', '11', 'Singular(F)']","['0P8116', '054825', '07/08/2018', '5.00', '11', 'Singular']","['0P8115', '053453', '17/07/2018', '2.00', '11', 'Singular']","['0P8385', '052951', '10/07/2018', '2.00', '11', 'Singular']",,,2020-11-16
7539,ARAUJO TEXTIL,ARAUJO TEXTIL LTDA,"RUA MATO GROSSO, 1584",CENTRO,DIVINOPOLIS,MG,35500-027,037 / 3215-1257 / 8802-3555,07.713.239/0001-58,537430833.00-69,,araujotextil@ig.com.br,"['B60470', '040775', '26/04/2018', '302.00', '61', 'Intercommerce']","['B60469', '051063', '26/04/2018', '1395.00', '252', 'Singular']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-04-26
7540,VIES 21,VIES 21 CONFECCAO COMERCIO IMP.E EXP.LTDA,"RUA SOUZA VALENTE, 26ANDAR 2",SAO CRISTOVAO,RIO DE JANEIRO,RJ,20940-000,21 / 2580-4294 / 2580-8836,08.533.128/0001-22,78.228.555,,duvitjorge@terra.com.br,"['0B2367', '034653', '13/10/2015', '316.00', '61', 'Singular']","['0L2881', '033815', '03/09/2015', '408.00', '81', 'Singular']","['002261', '053899', '14/07/2015', '231.00', '41', 'Singular(F)']","['002248', '032402', '30/06/2015', '156.00', '31', 'Singular']","['002214', '052729', '25/05/2015', '30.00', '11', 'Singular(F)']","['002168', '031036', '28/04/2015', '5.00', '11', 'Singular']","['002158', '030706', '10/04/2015', '61.00', '21', 'Singular']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-10-13
7543,ESMERALDA,ESMERALDA DA SILVA ROSA,"RUA BENJAMIN CONSTANT, 590QD 79 LT 01",SETOR CAMPINAS,GOIANIA,GO,74525-050,062 / 3091-3039 / ,09.546.625/0001-28,10.428.259-2,,esmeraldatextil@hotmail.com,"['0Q5803', '063267', '12/03/2019', '226.00', '41', 'Singular']","['0Q5798', '063107', '01/03/2019', '207.00', '41', 'Singular']","['0Q5794', '062831', '21/02/2019', '178.00', '31', 'Singular']","['ES2595', '076390', '12/02/2019', '189.00', '31', 'Singular(F)']","['02594S', '062348', '11/02/2019', '229.00', '41', 'Singular']","['0Q4091', '060755', '09/01/2019', '180.00', '31', 'Singular']","['0Q4089', '060508', '07/12/2018', '355.50', '61', 'Singular']","['0Q4086', '059871', '29/11/2018', '245.00', '41', 'Singular']","['0036AA', '073974', '27/11/2018', '277.80', '51', 'Singular(F)']","['A0025E', '059640', '22/11/2018', '50.00', '11', 'Singular']","['0A0017', '073351', '31/10/2018', '764.00', '132', 'Singular(F)']","['0A0018', '058857', '30/10/2018', '377.80', '61', 'Singular']","['0Q0173', '057935', '11/10/2018', '500.00', '102', 'Singular']","['0A0025', '057119', '20/09/2018', '292.50', '51', 'Singular']","['0P9478', '056756', '04/09/2018', '517.00', '102', 'Singular']","['0P9480', '056608', '04/09/2018', '212.00', '41', 'Singular']","['AA038A', '004747', '24/08/2018', '104.00', '21', 'Intercommerce(F)']","['AA038A', '071689', '24/08/2018', '127.50', '21', 'Singular(F)']","['ES2128', '054934', '08/08/2018', '205.00', '31', 'Singular']","['0P5944', '054734', '06/08/2018', '115.00', '21', 'Singular']","['00A003', '054612', '03/08/2018', '296.00', '61', 'Singular']","['0P7742', '054249', '30/07/2018', '197.00', '31', 'Singular']","['0P5942', '054296', '30/07/2018', '186.00', '31', 'Singular']","['0P7741', '053796', '19/07/2018', '394.00', '71', 'Singular']","['AA012E', '053526', '18/07/2018', '205.00', '41', 'Singular']","['0P6853', '070373', '10/07/2018', '371.00', '71', 'Singular(F)']","['0P4515', '052541', '26/06/2018', '343.00', '61', 'Singular']","['SAA005', '069148', '04/05/2018', '207.00', '31', 'Singular(F)']","['AA0042', '004082', '23/03/2018', '395.50', '71', 'Intercommerce(F)']","['0430AA', '068263', '22/03/2018', '115.00', '21', 'Singular(F)']","['A0044E', '050050', '21/03/2018', '122.00', '21', 'Singular']","['AA0046', '050052', '21/03/2018', '313.30', '61', 'Singular']","['A0040E', '040322', '21/03/2018', '295.50', '61', 'Intercommerce']","['AA037A', '040295', '20/03/2018', '50.00', '11', 'Intercommerce']","['0AA037', '049942', '19/03/2018', '225.90', '51', 'Singular']","['0N9149', '048726', '14/02/2018', '103.30', '21', 'Singular']","['0P0838', '048725', '14/02/2018', '412.70', '81', 'Singular']","['0P0839', '048716', '14/02/2018', '57.00', '11', 'Singular']","['0N9098', '048713', '14/02/2018', '102.00', '21', 'Singular']","['AA0034', '002684', '01/12/2017', '263.50', '51', 'Intercommerce(F)']","['0N7309', '037804', '21/11/2017', '100.00', '21', 'Intercommerce']","['0N7308', '037697', '13/11/2017', '102.00', '21', 'Intercommerce']","['0N7312', '037472', '30/10/2017', '178.50', '31', 'Intercommerce']","['0N7310', '047104', '30/10/2017', '63.00', '11', 'Singular']","['0N3506', '036849', '03/10/2017', '96.00', '21', 'Intercommerce']","['A0019B', '046447', '02/10/2017', '219.00', '41', 'Singular']","['A0017A', '001803', '28/09/2017', '100.00', '21', 'Intercommerce(F)']","['0018AA', '066134', '28/09/2017', '102.00', '21', 'Singular(F)']",,,2019-03-12
7547,R L VALADARES,GL JEANS LTDA,"RUA SIMPLICIO MENDES, 906",CENTRO,TERESINA,PI,64000-110,86 / 3223-3727 / ,04.963.506/0001-57,194492540,,,"['60973B', '039264', '31/01/2018', '86.90', '41', 'Intercommerce']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-31
7549,KIMIKA SLIM,FAST FASHION CONFECCOES LTDA EPP,"RUA OURO PRETO, 724",BELO HORIZONTE,PASSOS,MG,37900-008,035 / 4103-1483 / 3522-7947,11.125.251/0001-19,001393126.00-70,,kkimika@ig.com.br,"['002477', '052480', '13/05/2015', '615.00', '152', 'Singular(F)']","['002510', '031248', '05/05/2015', '46.40', '21', 'Singular']","['002479', '030731', '10/04/2015', '92.50', '41', 'Singular']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-13
7556,HALUZ,HALUZ CONFECCOES EIRELI ME,"RUA AIMORES, 177",BOM RETIRO,SÃO PAULO,SP,01122-011,11 / 3331-1669 / 3222-1341,12.481.868/0001-30,147.446.957.116,,ritz.fiscal01@gmail.com,"['S0013A', '072699', '12/01/2021', '1710.00', '272', 'Singular']","['0S0016', '000135', '18/11/2020', '531.00', '81', 'LetteBrasil(F)']","['019000', 'Corte', '15/10/2020', '4.00', '21', 'Singular(F)']","['94090A', '072465', '23/09/2020', '830.00', '132', 'Singular']","['017465', '044352', '21/08/2020', '607.00', '91', 'Intercommerce']","['98617B', '072414', '21/08/2020', '1020.00', '162', 'Singular']","['104904', '087944', '12/03/2020', '6013.00', '1013', 'Singular(F)']","['104904', 'Corte', '09/03/2020', '6013.00', '1013', 'Singular']","['014655', '087223', '18/02/2020', '1004.00', '172', 'Singular(F)']","['0R6957', '071435', '04/02/2020', '498.00', '81', 'Singular']","['012905', '085840', '17/01/2020', '994.00', '152', 'Singular(F)']","['012365', '085319', '13/12/2019', '507.00', '81', 'Singular(F)']","['012219', '085191', '10/12/2019', '998.00', '152', 'Singular(F)']","['011448', '084635', '22/11/2019', '627.00', '102', 'Singular(F)']","['B97582', '083594', '23/10/2019', '1491.00', '232', 'Singular(F)']","['007738', '080986', '07/08/2019', '3000.90', '452', 'Singular(F)']","['00Q659', '079657', '01/07/2019', '476.00', '81', 'Singular(F)']","['005912', '078570', '14/05/2019', '494.50', '81', 'Singular(F)']","['HA5878', '078548', '13/05/2019', '522.90', '91', 'Singular(F)']","['HA3234', '076901', '25/02/2019', '835.50', '142', 'Singular(F)']","['03236H', '076869', '22/02/2019', '292.00', '41', 'Singular(F)']","['03235A', '076868', '22/02/2019', '957.50', '182', 'Singular(F)']","['HA2320', '076213', '08/02/2019', '121.00', '21', 'Singular(F)']","['02166A', '076067', '05/02/2019', '120.00', '21', 'Singular(F)']","['02019B', '076005', '04/02/2019', '1896.50', '292', 'Singular(F)']","['0Q1453', '074713', '13/12/2018', '546.00', '102', 'Singular(F)']","['0Q1181', '074485', '07/12/2018', '501.50', '81', 'Singular(F)']","['00H509', '074188', '04/12/2018', '184.90', '31', 'Singular(F)']","['0Q1183', '074216', '04/12/2018', '588.00', '102', 'Singular(F)']","['0Q1182', '074143', '03/12/2018', '246.00', '41', 'Singular(F)']","['B77292', '073563', '09/11/2018', '649.00', '142', 'Singular(F)']","['B77290', '073564', '09/11/2018', '538.00', '81', 'Singular(F)']","['B77277', '073396', '05/11/2018', '523.50', '81', 'Singular(F)']","['0Q1180', '073032', '17/10/2018', '288.50', '41', 'Singular(F)']","['0Q1179', '072972', '16/10/2018', '296.50', '41', 'Singular(F)']","['0Q1178', '072981', '16/10/2018', '309.40', '41', 'Singular(F)']","['0Q1172', '072924', '15/10/2018', '715.40', '122', 'Singular(F)']","['B78297', '072817', '10/10/2018', '487.50', '71', 'Singular(F)']","['0P5212', '072705', '08/10/2018', '207.00', '41', 'Singular(F)']","['B57635', '072351', '25/09/2018', '2.50', '11', 'Singular(F)']","['B57630', '072349', '25/09/2018', '2.00', '11', 'Singular(F)']","['B57624', '057264', '24/09/2018', '3.00', '11', 'Singular']","['B77732', '072255', '19/09/2018', '3.00', '11', 'Singular(F)']","['B78115', '072181', '17/09/2018', '155.00', '31', 'Singular(F)']","['0P5210', '072100', '12/09/2018', '162.00', '31', 'Singular(F)']","['0P5213', '071983', '05/09/2018', '311.00', '61', 'Singular(F)']","['0P5219', '070095', '26/06/2018', '227.00', '41', 'Singular(F)']","['0P4391', '069768', '11/06/2018', '447.50', '91', 'Singular(F)']",,,2021-01-12
